"","id","imdbID","Title","Year","imdbRating","imdbVotes","Rated","Runtime","genres","r1","r2","r3","Plot"
"2051",2051,"tt0049408","The King and I","1956",7.5,"18736","APPROVED","133 min","Drama|Musical|Romance","tt0047574","tt0031580","tt0042327","A widow accepts a job as a live-in governess to the King of Siam's children."
"2052",2052,"tt0131369","Edtv","1999",6.1,"35170","PG-13","122 min","Comedy","tt0091159","tt0098067","tt1578275","A video store clerk agrees to have his life filmed by a camera crew for a television show."
"2053",2053,"tt0120757","The Mod Squad","1999",4.2,"7634","R","92 min","Action|Crime","tt0114576","tt0112401","tt0113010","Three minor delinquints (Danes, Ribisi, and Epps) are recruited by a cop (Farina) working undercover to bust a cop/drug ring. When the officer who recruited them is killed, they go above ..."
"2054",2054,"tt0122906","Among Giants","1998",5.9,"805","R","93 min","Comedy|Drama|Romance","tt0115744","tt0119743","tt0183503","A manager hires Ray, off the books, to paint all the power towers in a 15-mile stretch of high-tension wires outside Sheffield. Ray's crew of men are friends, especially Ray with Steve, a ..."
"2055",2055,"tt0120613","A Walk on the Moon","1999",6.6,"6680","R","107 min","Drama|Romance","tt0434139","tt1244754","tt0107822","The world of a young housewife is turned upside down when she has an affair with a free-spirited blouse salesman."
"2056",2056,"tt0133093","The Matrix","1999",8.7,"1174625","R","136 min","Action|Sci-Fi|Thriller","tt0234215","tt0242653","tt1371111","A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."
"2057",2057,"tt0147800","10 Things I Hate About You","1999",7.2,"215563","PG-13","97 min","Comedy|Romance","tt0186975","tt0265087","tt1022603","A new kid must find a guy to date the meanest girl in school, the older sister of the girl he has a crush on, who cannot date until her older sister does."
"2058",2058,"tt0120274","Tango","1998",7.2,"2387","PG-13","115 min","Drama|Musical","tt0090636","tt0210717","tt0203009","Mario Suarez is a forty-something tango artist, whose wife Laura has left him. He leaves his apartment and starts preparing a film about tango."
"2059",2059,"tt0129280","The Out-of-Towners","1999",5.3,"10208","PG-13","90 min","Comedy","tt0112606","tt0161083","tt0119190","The remake of the 1970 Neil Simon comedy follows the adventures of a couple, Henry and Nancy Clark, vexed by misfortune while in New York City for a job interview."
"2060",2060,"tt0120449","The Dreamlife of Angels","1998",7.5,"6555","R","113 min","Drama","tt0903627","tt0254199","tt0304678","In Lille, two penniless young women with few prospects become friends. Isa moves in with Marie, who's flat-sitting for a mother and child in hospital in comas following a car crash. Isa is ..."
"2061",2061,"tt0119665","Metroland","1997",6.5,"2782","R","101 min","Comedy|Drama","tt0272338","tt0114885","tt0114681","The sudden reappearance of his best friend Toni, after ten years absence, causes Chris to remember his past, to question some of his lifestyle decisions and to re-evaluate his life and marriage to Marion."
"2062",2062,"tt0154506","Following","1998",7.6,"63973","R","69 min","Crime|Mystery|Thriller","tt0209144","tt0278504","tt0107497","A young writer who follows strangers for material meets a thief who takes him under his wing."
"2063",2063,"tt0139239","Go","1999",7.3,"58826","R","102 min","Comedy|Crime","tt0117802","tt0356910","tt0113845","Go! tells the story of the events after a drug deal, told from three different points of view."
"2064",2064,"tt0151738","Never Been Kissed","1999",6,"66508","PG-13","107 min","Comedy|Romance","tt0120631","tt0119304","tt0208003","A journalist enrolls in her old highschool as part of her research for a story."
"2065",2065,"tt0105399","Twin Dragons","1992",6.4,"8280","PG-13","100 min","Action|Comedy","tt0119013","tt0120724","tt0089374","Two twins are separated at birth, one becoming a streetwise mechanic and the other an acclaimed classical concert conductor. Finally meeting in adulthood they each become mistaken for the other and entangled in each other's world."
"2066",2066,"tt0126250","Cookie's Fortune","1999",7,"11064","PG-13","118 min","Comedy|Drama","tt0420087","tt0110907","tt0108122","Conflict arises in the small town of Holly Springs when an old woman's death causes a variety of reactions among family and friends."
"2067",2067,"tt0133363","Lovers of the Arctic Circle","1998",7.8,"15037","R","112 min","Drama|Romance","tt0254455","tt1263750","tt0125659","Otto and Ana are kids when they meet each other. Their names are palindromes. They meet by chance, people are related by chance. A story of circular lives, with circular names, and a ..."
"2068",2068,"tt0119219","Goodbye Lover","1998",5.7,"2821","R","102 min","Comedy|Crime|Thriller","tt0112722","tt0114345","tt0087553","Ben and Sandra are hot and provocative lovers, but Sandra is unfortunately married to Ben's younger brother Jake, and soon Jake will find out about Ben."
"2069",2069,"tt0123964","Life","1999",6.7,"33396","R","108 min","Comedy|Crime|Drama","tt0110955","tt0115639","tt0221027","The story of wrongfully convicted men (Eddie Murphy and Martin Lawrence) who discover the value of life after serving 65 years in prison."
"2070",2070,"tt0143261","Friends & Lovers","1999",4.5,"1270","R","103 min","Comedy|Drama|Romance","tt0111418","tt0114885","tt0113537","Friends for ten years, a group of twenty-somethings head for the ski slopes as guests of Ian's father. (Ian and dad are estranged because dad worked too many hours when Ian was a lad.) Dad ..."
"2071",2071,"tt0136244","Hideous Kinky","1998",6.1,"5421","R","98 min","Drama","tt0114474","tt0120001","tt0105150","Hideous Kinky is the story of two sisters (seven and five years old) traveling with their hippie mother from London to Morocco. They encounter many adventures, new experiences, and ..."
"2072",2072,"tt0110570","The Monster","1994",7.5,"7461","R","112 min","Comedy","tt0118799","tt0255477","tt0090967","A vicious serial sex killer is on the loose, and landscape gardener and shop-window outfitter Loris is the prime suspect, thanks to his unfortunate habit of getting caught in compromising ..."
"2073",2073,"tt0125659","Open Your Eyes","1997",7.8,"51824","R","117 min","Drama|Romance|Sci-Fi|Thriller","tt0117883","tt0133363","tt0369702","A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
"2074",2074,"tt0133189","SLC Punk!","1998",7.5,"21824","R","97 min","Comedy|Drama","tt0115639","tt0113613","tt0115951","In the early 1980s Stevo and Heroin Bob are the only two dedicated punks in conservative Salt Lake City."
"2075",2075,"tt0120836","Lost & Found","1999",5,"5498","PG-13","95 min","Comedy|Romance","tt0118750","tt0437863","tt0113228","In order to impress his beautiful French neighbor, Dylan Ramsey dognaps her pet pooch so he can return him and become a hero. Unfortunately, things do not work out as planned."
"2076",2076,"tt0120797","Pushing Tin","1999",6,"24515","R","124 min","Comedy","tt0109831","tt0484740","tt0119008","A feud develops between two air traffic controllers: one cocky and determined while the other is restrained and laidback, which inevitably affects their lives."
"2077",2077,"tt0126886","Election","1999",7.3,"72398","R","103 min","Comedy","tt0115906","tt0257360","tt0375063","A high school teacher's personal life becomes complicated as he works with students during the school elections, particularly with an obsessive overachiever determined to become student body president."
"2078",2078,"tt0120907","eXistenZ","1999",6.8,"75624","R","97 min","Action|Sci-Fi|Thriller","tt0085407","tt0091064","tt0081455","A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged."
"2079",2079,"tt0137494","Entrapment","1999",6.2,"86182","PG-13","113 min","Crime|Thriller","tt0120483","tt0108185","tt0298814","An insurance agent is sent by her employer to track down and help capture an art thief."
"2080",2080,"tt0138510","Idle Hands","1999",6.2,"33325","R","92 min","Comedy|Horror","tt0110329","tt1864288","tt0101917","Lazy Anton's right hand becomes possessed with murderous intent."
"2081",2081,"tt0162973","Get Real","1998",7.7,"10307","R","108 min","Drama|Romance","tt0114885","tt0113537","tt0115639","A tenderly romantic coming-of-age story as two boys in a British school fall in love."
"2082",2082,"tt0115669","The King of Masks","1996",7.6,"2738","N/A","91 min","Drama","tt0110299","tt0106473","tt0113952","Wang Bianlian is an aging street performer known as the King of Mask for his mastery of Sichuan Change Art in a true story. His wife left him with and infant son over 30 years ago. The son ..."
"2083",2083,"tt0138874","Three Seasons","1999",7.3,"2729","PG-13","104 min","Drama","tt0112346","tt0114168","tt0114011","An American in Ho Chi Minh City looks for a daughter he fathered during the war. He meets Woody, a child who's a street vendor, and when Woody's case of wares disappears, he thinks the ..."
"2084",2084,"tt0155388","The Winslow Boy","1999",7.4,"6403","G","104 min","Drama","tt0120176","tt0096259","tt0120202","Early 20th century England: while toasting his daughter Catherine's engagement, Arthur Winslow learns the royal naval academy expelled his 14-year-old son, Ronnie, for stealing five ..."
"2085",2085,"tt0037913","Mildred Pierce","1945",8,"15521","NOT RATED","111 min","Drama|Film-Noir","tt0051818","tt0029870","tt0042281","A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter."
"2086",2086,"tt0087799","Night of the Comet","1984",6.4,"12635","PG-13","95 min","Comedy|Horror|Sci-Fi","tt0103924","tt0090837","tt0096454","A comet wipes out most of life on Earth, leaving two Valley Girls to fight the evil types who survive."
"2087",2087,"tt0090837","Chopping Mall","1986",5.5,"5437","R","77 min","Action|Horror|Sci-Fi","tt0098193","tt0087799","tt0139414","Eight teenagers are trapped after hours in a high tech shopping mall and pursued by three murderous security robots out of control."
"2088",2088,"tt0089652","My Science Project","1985",6,"3861","PG","94 min","Adventure|Sci-Fi","tt0114658","tt0110478","tt0108333","A high school student and his friend find a strange, orb-like piece of equipment to use as a science project, but must stop it when it begins to threaten mankind."
"2089",2089,"tt0099422","Dick Tracy","1990",6.1,"47091","PG","105 min","Action|Crime","tt0077663","tt0120317","tt0120483","The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob."
"2090",2090,"tt0120616","The Mummy","1999",7,"308691","PG-13","125 min","Action|Adventure|Comedy|Fantasy|Horror|Thriller","tt0209163","tt0338526","tt0859163","An American serving in the French Foreign Legion on an archaeological dig at the ancient city of Hamunaptra accidentally awakens a mummy."
"2091",2091,"tt0118826","The Castle","1997",7.8,"11617","R","85 min","Comedy","tt0205873","tt0114885","tt0114681","A working-class family from Melbourne, Australia fights city hall after being told they must vacate their beloved family home to allow for infrastructural expansion."
"2092",2092,"tt0120865","This Is My Father","1998",7.1,"1487","R","119 min","Drama|Romance","tt0138946","tt0093073","tt0114885","Widowed Kieran Johnson is a lonely, middle-aged, Chicago-based high school history teacher who feels disconnected to his life. He decides to take a trip to his mother's small old hometown ..."
"2093",2093,"tt0115005","Xiu Xiu: The Sent-Down Girl","1998",7.5,"2689","R","99 min","Drama","tt0174480","tt0114885","tt0113277","Young teen girl Xiu Xiu is sent away to a remote corner of the Sichuan steppes for manual labor in 1975 (sending young people to there was a part of Cultural Revolution in China). A year ..."
"2094",2094,"tt0140379","A Midsummer Night's Dream","1999",6.5,"21014","PG-13","116 min","Comedy|Fantasy","tt0102951","tt0117247","tt0098356","Lovers' lives are complicated by city law, feuding faerie royalty, and... love."
"2095",2095,"tt0165078","After Life","1998",7.8,"6927","N/A","118 min","Drama|Fantasy","tt1371630","tt0408664","tt1087578","After death, people have just one week to choose only a memory to keep for eternity."
"2096",2096,"tt0115693","Black Mask","1996",6.1,"9004","R","99 min","Action|Adventure|Crime|Sci-Fi|Thriller","tt0300620","tt0113326","tt0163579","A survivor of a supersoldier project must fight his former comrades as a masked hero."
"2097",2097,"tt0138414","Edge of Seventeen","1998",6.8,"4540","NOT RATED","99 min","Comedy|Drama|Romance","tt0061495","tt0054698","tt0111357","A teenager copes with his sexuality on the last day of school in 1984. It shows him coping with being gay and being with friends."
"2098",2098,"tt0120915","Star Wars: Episode I - The Phantom Menace","1999",6.5,"519011","PG","136 min","Action|Adventure|Sci-Fi","tt0121765","tt0121766","tt0076759","Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to reclaim their old glory."
"2099",2099,"tt0166252","The Love Letter","1999",5.4,"3503","PG-13","88 min","Comedy|Romance","tt0113347","tt0112346","tt0113321","The power of words and images to open hearts. Helen runs, miles a day, to burn off energy: she's an emotional celibate. Going through the post at her shop, she finds a romantic and poetic ..."
"2100",2100,"tt0023245","The Mummy","1932",7.2,"15410","NOT RATED","73 min","Horror|Romance","tt0026663","tt0103874","tt0026138","A living mummy stalks the beautiful woman he believes is the reincarnation of his lover."
"2101",2101,"tt0053085","The Mummy","1959",6.8,"5152","UNRATED","88 min","Horror","tt0051554","tt0050280","tt0052905","In 1895, British archaeologists find and open the tomb of Egyptian Princess Ananka with nefarious consequences."
"2102",2102,"tt0037098","The Mummy's Curse","1944",5.6,"1460","APPROVED","60 min","Horror","tt0027948","tt0037549","tt0036931","An irrigation project in the rural bayous of Louisiana unearths Kharis the living mummy (Lon Chaney Jr.), who was buried in quicksand 25 years earlier."
"2103",2103,"tt0037099","The Mummy's Ghost","1944",5.8,"1412","UNRATED","61 min","Horror","tt0036931","tt0081178","tt0056993","An Egyptian priest travels to America in search of the bodies of an Egyptian princess and her living, mummified guardian, with consequences."
"2104",2104,"tt0032818","The Mummy's Hand","1940",6.1,"2081","APPROVED","67 min","Horror","tt0049516","tt0016641","tt0055018","An ancient mummy is revived to destroy the invaders of the 3,000 year-old tomb of an Egyptian princess."
"2105",2105,"tt0035096","The Mummy's Tomb","1942",5.7,"1608","PASSED","60 min","Horror","tt0038166","tt0034398","tt0040068","A high priest travels to America with a living mummy to kill those who had desecrated the tomb of an Egyptian princess thirty years earlier."
"2106",2106,"tt0082766","Mommie Dearest","1981",6.7,"10160","R","129 min","Drama","tt0064573","tt0113987","tt0112641","Mommie Dearest, best-selling memoir turned motion picture, depicts the abusive and traumatic adoptive upbringing of Christina Crawford at the hands of her mother, screen queen Joan Crawford."
"2107",2107,"tt0078346","Superman","1978",7.3,"121917","PG","143 min","Action|Adventure|Sci-Fi","tt0081573","tt0110478","tt0089218","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero."
"2108",2108,"tt0081573","Superman II","1980",6.8,"73749","PG","127 min","Action|Sci-Fi","tt0078346","tt0086393","tt0110478","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth."
"2109",2109,"tt0086393","Superman III","1983",4.9,"48116","PG","125 min","Action|Adventure|Sci-Fi","tt0081573","tt0098194","tt0072281","Synthetic kryptonite laced with tobacco tar splits Superman in two: good Clark Kent and bad Man of Steel."
"2110",2110,"tt0094074","Superman IV: The Quest for Peace","1987",3.7,"32851","PG","90 min","Action|Adventure|Sci-Fi","tt0078346","tt0081573","tt0086393","The Man of Steel crusades for nuclear disarmament and meets Lex Luthor's latest creation, Nuclear Man."
"2111",2111,"tt0021814","Dracula","1931",7.6,"32037","APPROVED","85 min","Horror","tt0026685","tt0035899","tt0022913","The ancient vampire Count Dracula arrives in England and begins to prey upon the virtuous young Mina."
"2112",2112,"tt0036931","House of Frankenstein","1944",6.3,"4097","APPROVED","71 min","Horror","tt0034786","tt0037099","tt0031951","An evil scientist and his hunchbacked assistant escape from prison and encounter Dracula, the Wolf Man and Frankenstein's Monster."
"2113",2113,"tt0021884","Frankenstein","1931",8,"47039","NOT RATED","70 min","Drama|Horror|Sci-Fi","tt0026138","tt0024184","tt0023293","An obsessed scientist assembles a living being from parts of exhumed corpses."
"2114",2114,"tt0031951","Son of Frankenstein","1939",7.2,"6154","APPROVED","99 min","Horror","tt0034786","tt0035899","tt0037576","One of the sons of Frankenstein finds his father's monster in a coma and revives him, only to find out he is controlled by Ygor who is bent on revenge."
"2115",2115,"tt0034786","The Ghost of Frankenstein","1942",6.1,"3665","APPROVED","67 min","Horror","tt0036931","tt0031951","tt0034398","When Ygor brings the Monster to Dr. Ludwig Frankenstein for care, Ludwig gets the idea of replacing the Monster's current criminal brain with a normal one."
"2116",2116,"tt0035899","Frankenstein Meets the Wolf Man","1943",6.6,"5286","APPROVED","74 min","Horror","tt0031951","tt0035317","tt0021814","After being awakened, Larry Talbot chips Frankenstein's Monster out of a block of ice. When Talbot changes to the Wolf Man, the two creatures battle each other."
"2117",2117,"tt0050280","The Curse of Frankenstein","1957",7.2,"6104","APPROVED","82 min","Horror","tt0052905","tt0051554","tt0053085","Victor Frankenstein builds a creature and brings it to life. But his creature behaves not as he intended."
"2118",2118,"tt0034398","The Wolf Man","1941",7.4,"15898","APPROVED","70 min","Drama|Fantasy|Horror","tt0034786","tt0035096","tt0036931","A practical man returns to his homeland, is attacked by a creature of folklore, and infected with a horrific disease his disciplined mind tells him can not possibly exist."
"2119",2119,"tt0089308","Howling II: ... Your Sister Is a Werewolf","1985",3.3,"4459","R","91 min","Horror","tt0097100","tt0093227","tt0113690","A young man whose sister was murdered by werewolves helps an investigator track down a gang of the monsters through the United States and Europe."
"2120",2120,"tt0048696","Tarantula","1955",6.5,"6168","APPROVED","80 min","Horror|Sci-Fi","tt0045920","tt0046876","tt0050539","A spider escapes from an isolated desert laboratory experimenting in giantism and grows to tremendous size as it wreaks havoc on the local inhabitants."
"2121",2121,"tt0073629","The Rocky Horror Picture Show","1975",7.4,"99576","R","100 min","Comedy|Horror|Musical|Sci-Fi","tt0083067","tt0368222","tt0116242","A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter."
"2122",2122,"tt0084156","It Came from Hollywood","1982",5.9,"706","PG","80 min","Comedy|Documentary","tt0095253","tt0095360","tt0087042","Popular comedians watch and give comments about the worst and silliest films from Hollywood."
"2123",2123,"tt0044121","The Thing from Another World","1951",7.3,"18223","UNRATED","87 min","Horror|Sci-Fi","tt0032599","tt0029947","tt0036241","Scientists and American Air Force officials fend off a blood-thirsty alien organism while at a remote arctic outpost."
"2124",2124,"tt0045920","It Came from Outer Space","1953",6.6,"5677","APPROVED","81 min","Sci-Fi","tt0046876","tt0048696","tt0050539","A spaceship from another world crashes in the Arizona desert, and only an amateur stargazer and a schoolteacher suspect alien influence when the local townsfolk begin to act strange."
"2125",2125,"tt0046534","The War of the Worlds","1953",7.2,"24738","APPROVED","85 min","Action|Drama|Sci-Fi","tt0035608","tt0058530","tt0116839","A small town in California is attacked by Martians."
"2126",2126,"tt0048215","It Came from Beneath the Sea","1955",5.9,"3246","APPROVED","79 min","Sci-Fi","tt0045546","tt0047573","tt0051622","A Giant Octopus, whose feeding habits have been affected by radiation from H-Bomb tests, rises from the Mindanao Deep to terrorize the California Coast."
"2127",2127,"tt0049366","Invasion of the Body Snatchers","1956",7.8,"33333","APPROVED","80 min","Horror|Sci-Fi|Thriller","tt0062824","tt0041178","tt0051866","A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates."
"2128",2128,"tt0049169","Earth vs. the Flying Saucers","1956",6.4,"4986","UNRATED","83 min","Sci-Fi","tt0050177","tt0116839","tt0114367","Extra-terrestrials flying in high-tech flying saucers contact scientist Dr. Russell Marvin as part of a plan to enslave the inhabitants of Earth."
"2129",2129,"tt0049370","It Conquered the World","1956",4.9,"1465","APPROVED","71 min","Sci-Fi","tt0050147","tt0057449","tt0055304","A well meaning scientist guides an alien monster to Earth from Venus, so that he can rid mankind of feelings and emotions - but only death and sorrow results."
"2130",2130,"tt0049516","The Mole People","1956",4.7,"2172","APPROVED","77 min","Horror|Sci-Fi","tt0032818","tt0055018","tt0052722","A party of archaeologists discovers the remnants of a mutant five millennia-old Sumerian civilization living beneath a glacier atop a mountain in Mesopatamia."
"2131",2131,"tt0084745","Swamp Thing","1982",5.4,"9072","PG","91 min","Horror|Sci-Fi","tt0090917","tt0068833","tt0114825","After a violent incident with a special chemical, a research scientist is turned into a swamp plant monster."
"2132",2132,"tt0053183","Pork Chop Hill","1959",7.1,"3181","APPROVED","97 min","War","tt0038235","tt0040109","tt0020629","During the Korean War peace talks, U.S. troops fight to retake a hill from the Communist Chinese forces."
"2133",2133,"tt0052151","Run Silent Run Deep","1958",7.4,"7605","APPROVED","93 min","War","tt0045679","tt0043456","tt0060934","A U.S. sub commander, obsessed with sinking a certain Japanese ship, butts heads with his first officer and crew."
"2134",2134,"tt0125439","Notting Hill","1999",7,"198712","PG-13","124 min","Comedy|Romance","tt1126618","tt0489327","tt0114117","The life of a simple bookshop owner changes when he meets the most famous film star in the world."
"2135",2135,"tt0139809","The Thirteenth Floor","1999",7,"50731","R","100 min","Drama|Sci-Fi|Thriller","tt0114746","tt0123755","tt0160399","Computer scientist Hannon Fuller has discovered something extremely important. He's about to tell the discovery to his colleague, Douglas Hall, but knowing someone is after him, the old man..."
"2136",2136,"tt0156794","Eternity and a Day","1998",7.8,"6171","UNRATED","137 min","Drama","tt0112445","tt0112288","tt0058450","Famous writer Alexander is very ill and has little time left to live. He meets a little boy on the street, who is an illegal immigrant from Albania, and goes on a journey with him to take the boy home."
"2137",2137,"tt0126859","The Loss of Sexual Innocence","1999",5.4,"2859","R","106 min","Drama|Fantasy","tt0113627","tt0109340","tt0220100","Confused, non-linear film tells the sexual story of a film director from his life at age 5, age 12, age 16, a man embarking on his first film in 1950's Tunisia, and finally to his current ..."
"2138",2138,"tt0128278","Instinct","1999",6.5,"26775","R","126 min","Drama|Thriller","tt0109635","tt0114924","tt0117333","When a noted anthropologist who left society to live in the jungle is imprisoned for murder, it's up to a young psychiatrist to get through to him."
"2139",2139,"tt0186508","Buena Vista Social Club","1999",7.6,"12860","G","105 min","Documentary|Musical","tt1440266","tt3674140","tt0093191","Aging Cuban musicians whose talents had been virtually forgotten following Castro's takeover of Cuba, are brought out of retirement by Ry Cooder, who travelled to Havana in order to bring the musicians together, resulting in triumphant performances of extraordinary music, and resurrecting the musicians' careers."
"2140",2140,"tt0126261","Desert Blue","1998",6.3,"1869","R","90 min","Drama","tt0119338","tt0283877","tt0954947","An academic obsessed with ""roadside attractions"" and his tv-star daughter finally discover the world's largest ice cream cone, the centerpiece for an old gold-rush town struggling to stay ..."
"2141",2141,"tt0141105","Free Enterprise","1998",7,"2869","R","113 min","Comedy|Romance|Sci-Fi","tt0114885","tt0113819","tt0118002","Two less than successful film producers, approaching mid-life crisis and clinging to their nerdy sci-fi obsessions, suddenly meet their idol: William Shatner."
"2142",2142,"tt0164085","Limbo","1999",7.1,"5115","R","126 min","Drama","tt0119657","tt0116905","tt0105107","In an economically devastated Alaskan town, a fisherman with a troublesome past dates a woman whose young daughter does not approve of him. When he witnesses the murder of his shady brother, he, the woman and the kid run to the wilderness."
"2143",2143,"tt0145660","Austin Powers: The Spy Who Shagged Me","1999",6.6,"177826","PG-13","95 min","Action|Adventure|Comedy","tt0295178","tt0118655","tt0212338","Dr. Evil is back...and has invented a new time machine that allows him to go back to the 60's and steal Austin Powers's mojo, inadvertently leaving him ""shagless""."
"2144",2144,"tt0120802","The Red Violin","1998",7.7,"26369","R","130 min","Drama|Mystery","tt0494834","tt0111495","tt0106471","A perfect red-colored violin inspires passion, making its way through three centuries over several owners and countries, eventually ending up at an auction where it may find a new owner."
"2145",2145,"tt0120855","Tarzan","1999",7.2,"136621","G","88 min","Adventure|Animation|Children|Drama","tt0211181","tt0113198","tt0423294","A man raised by gorillas must decide where he really belongs when he discovers he is a human."
"2146",2146,"tt0144214","The General's Daughter","1999",6.3,"41596","R","116 min","Crime|Drama|Mystery|Thriller","tt0118880","tt0472399","tt1764651","When the daughter of a well-known and well-respected base commander is murdered, an undercover detective is summoned to look into the matter and finds a slew of cover-ups at West Point."
"2147",2147,"tt0184510","Get Bruce","1999",6,"538","R","82 min","Documentary","tt0115685","tt0080634","tt0109508","Affectionate tribute to Bruce Vilanch (1948- ), who writes material for celebrities who make public appearances, from Oscar hosts and award recipients to Presidents. We meet his mom and see..."
"2148",2148,"tt0122541","An Ideal Husband","1999",6.9,"12707","PG-13","97 min","Comedy|Romance","tt0278500","tt0114057","tt0119738","Sir Robert Chiltern is a successful Government minister, well-off and with a loving wife. All this is threatened when Mrs Cheveley appears in London with damning evidence of a past misdeed...."
"2149",2149,"tt0120731","The Legend of 1900","1998",8.1,"39246","R","165 min","Drama","tt0114808","tt0213847","tt0095765","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land."
"2150",2150,"tt0130827","Run Lola Run","1998",7.8,"158418","R","80 min","Action|Crime","tt0203632","tt0246677","tt0396171","After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
"2151",2151,"tt0120370","Trekkies","1997",7,"4360","PG","86 min","Documentary","tt0112373","tt0108515","tt0118147","Denice Crosby takes a first look at the huge fans of Star Trek and how the series from around America has affected and shaped their lives."
"2152",2152,"tt0142342","Big Daddy","1999",6.4,"158081","PG-13","93 min","Comedy","tt0116483","tt0762107","tt0960144","A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father."
"2153",2153,"tt0139898","The Boys","1998",7.2,"1078","R","86 min","Drama","tt0304229","tt0783238","tt1152836","Brett Sprague is a violent and psychopathic man, who is released on parole after serving a sentence for assault. As he returns to his family house and we watch him and his brothers, Stevie ..."
"2154",2154,"tt0119038","The Dinner Game","1998",7.7,"29064","PG-13","80 min","Comedy","tt0243493","tt0098471","tt0449851","To amuse themselves at a weekly dinner, a few well-heeled folk each bring a dimwit along who is to talk about his pastime. Each member seeks to introduce a champion dumbbell. Pierre, an ..."
"2155",2155,"tt0119743","My Son the Fanatic","1997",7,"1435","R","87 min","Comedy|Drama|Romance","tt0212380","tt0114885","tt0113537","Pakistani taxi-driver Parvez and prostitute Bettina find themselves trapped in the middle when Islamic fundamentalists decide to clean up their local town."
"2156",2156,"tt0120554","Zone 39","1996",4.6,"211","NOT RATED","95 min","Sci-Fi","tt0058898","tt0079944","tt0051418","In a time of misery and fear two enemies come together to prevent an apocalypse conspired by their leaders. 40 years of war between the Federated Republics and the New Territories Union has..."
"2157",2157,"tt0099052","Arachnophobia","1990",6.3,"49085","PG-13","103 min","Comedy|Horror","tt0112896","tt0112715","tt0099700","A species of South American killer spider hitches a lift to the U.S. in a coffin and starts to breed and kill."
"2158",2158,"tt0158983","South Park: Bigger Longer & Uncut","1999",7.8,"158500","R","81 min","Animation|Comedy|Musical","tt1308667","tt0372588","tt0124819","When the four boys see an R-rated movie featuring Canadians Terrance & Phillip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada."
"2159",2159,"tt0120891","Wild Wild West","1999",4.8,"127579","PG-13","106 min","Action|Comedy|Sci-Fi|Western","tt0120912","tt1409024","tt0119654","The two best hired guns in the West must save President Grant from the clutches of a nineteenth-century inventor-villain."
"2160",2160,"tt0162677","Summer of Sam","1999",6.6,"30860","R","142 min","Drama","tt0112688","tt0100168","tt0102175","Spike Lee's take on the ""Son of Sam"" murders in New York City during the summer of 1977 centering on the residents of an Italian-American Northeast Bronx neighborhood who live in fear and distrust of one another."
"2161",2161,"tt0149964","Broken Vessels","1998",6.6,"528","R","90 min","Drama","tt0108000","tt0114885","tt0113277","A young Pennsylvania man moves to Los Angeles to begin work for an ambulance service. There he is teamed with a supremely confident vet who seemingly has gone through a large number of ..."
"2162",2162,"tt0163651","American Pie","1999",7,"310014","R","95 min","Comedy|Romance","tt0231775","tt0276751","tt1605630","Four teenage boys enter a pact to lose their virginity by prom night."
"2163",2163,"tt0137363","Arlington Road","1999",7.2,"68795","R","117 min","Thriller","tt1691920","tt0116260","tt0113451","A man begins to suspect his neighbors are not what they appear to be and their secrets could be deadly."
"2164",2164,"tt0137439","Autumn Tale","1998",7.6,"3174","PG","112 min","Romance","tt0097106","tt0064612","tt0065772","Magali, 45, is a wine producer in the south of France. She's a widow, and her best friend, Isabelle, decides to find her a new husband. She puts an ad in the local newspaper and finds a ..."
"2165",2165,"tt0158811","Muppets from Space","1999",6.2,"14379","G","87 min","Children|Comedy","tt0104940","tt0079588","tt0082474","Gonzo is contacted by his alien family through his breakfast cereal. He is kidnapped and it's up to Kermit and the gang to rescue Gonzo and help reunite him with his long-lost family."
"2166",2166,"tt0185937","The Blair Witch Project","1999",6.4,"181773","R","81 min","Drama|Horror|Thriller","tt0457275","tt0962711","tt2450186","Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind."
"2167",2167,"tt0120899","My Life So Far","1999",6.5,"2398","PG-13","98 min","Drama","tt0082158","tt0110428","tt0111454","Memoir of the lives of a family growing up on a post World War I British estate headed up by a strong disciplinarian, her daughter, her inventor husband, their ten year old son, and his ..."
